=== Training Configuration ===
data_path: data/dataset_name/train
train_batch_size: 2
valid_batch_size: 2
num_workers: 0
num_epochs: 250
accumulation_steps: 4
segmentation_model: Unet
encoder: resnet101
pretrained_weights: imagenet
activation_function: sigmoid
use_deep_decoder: False
loss_function: FocalTverskyLoss
optimizer: AdamW
lr: 5e-05
lambda_reg: 0.2
lambda_cls: 0.3
lr_schedule: onecycle
logs_file_path: output/logs/training_logs.txt
model_save_path: output/models/density_model.pth
confusion_matrix_epochs: 50
tsne_plot: True
device_ids: None
weight_decay: 0.0001

=== Training Progress ===
Epoch	Train_Loss	Train_Dice	Train_RegMAE	Train_BIRADS	Val_Loss	Val_Dice	Val_RegMAE	Val_BIRADS	Comb_Score
66	0.7306	0.6933	6.25	72.67	0.8023	0.6618	6.15	70.34	0.7414
67	0.7222	0.7068	6.71	72.67	0.7579	0.7055	6.24	70.34	0.7630
68	0.7046	0.7103	6.18	72.67	0.7303	0.7059	6.49	70.34	0.7626
69	0.6903	0.7143	6.36	72.67	0.7324	0.7498	6.96	70.34	0.7834
70	0.6492	0.7356	6.18	72.67	0.7166	0.7272	5.94	70.34	0.7746
71	0.6289	0.7345	5.78	72.67	0.7250	0.6863	6.32	70.34	0.7532
72	0.6173	0.7546	5.57	72.67	0.6938	0.7699	7.26	70.34	0.7927
73	0.6105	0.7567	6.01	72.67	0.6939	0.7113	6.20	70.34	0.7660
74	0.5856	0.7583	5.61	72.67	0.7121	0.7192	6.98	70.34	0.7680
75	0.5761	0.7648	5.92	72.67	0.6569	0.7764	6.41	71.19	0.8001
76	0.5656	0.7734	6.20	72.67	0.6680	0.7375	6.12	71.19	0.7814
77	0.5507	0.7775	5.72	72.67	0.6659	0.7602	6.09	70.34	0.7907
78	0.5555	0.7762	6.10	72.67	0.6481	0.7761	6.10	72.03	0.8029
79	0.5315	0.7890	5.98	72.88	0.6431	0.7405	5.74	71.19	0.7838
80	0.5151	0.7875	5.71	72.88	0.7427	0.7706	6.75	71.19	0.7964
81	0.5076	0.7973	5.92	73.09	0.6826	0.8023	6.65	72.03	0.8146
82	0.5091	0.7851	6.22	72.88	0.7299	0.7724	6.35	70.34	0.7962
83	0.5015	0.7949	5.92	73.52	0.5989	0.7987	6.71	72.88	0.8147
84	0.4830	0.8053	5.50	72.88	0.6558	0.7703	6.13	72.03	0.7999
85	0.4852	0.8083	5.77	73.73	0.6391	0.7627	6.14	74.58	0.8024
86	0.4788	0.8006	5.78	74.79	0.6400	0.7954	6.42	72.03	0.8117
87	0.4693	0.8161	6.05	73.52	0.7181	0.7902	5.85	76.27	0.8211
88	0.4654	0.8068	5.89	74.36	0.6832	0.7482	5.07	71.19	0.7894
89	0.4651	0.8023	5.89	73.52	0.6579	0.7937	6.16	71.19	0.8094
90	0.4544	0.8147	5.68	73.31	0.6640	0.7803	5.72	71.19	0.8038
91	0.4379	0.8204	5.69	73.31	0.7068	0.8144	6.05	71.19	0.8200
92	0.4398	0.8217	5.82	74.36	0.6339	0.7969	6.12	72.03	0.8132
93	0.4294	0.8197	5.72	74.15	0.7132	0.8003	5.89	71.19	0.8134
94	0.4271	0.8267	6.08	73.09	0.7280	0.7793	6.12	71.19	0.8023
95	0.4303	0.8295	5.82	73.94	0.7356	0.7972	5.78	71.19	0.8121
96	0.4429	0.8312	5.92	73.31	0.7169	0.7782	7.21	71.19	0.7990
97	0.4121	0.8323	6.06	73.73	0.5970	0.8176	7.43	73.73	0.8246
98	0.4097	0.8264	5.83	75.21	0.5739	0.8071	7.19	72.03	0.8156
99	0.4068	0.8298	5.90	73.52	0.5900	0.8277	6.91	74.58	0.8330
100	0.4027	0.8256	6.00	75.00	0.5903	0.7995	7.68	72.88	0.8127
101	0.4016	0.8323	5.98	73.94	0.5761	0.8268	7.86	76.27	0.8344
102	0.3897	0.8403	5.74	73.52	0.8018	0.7980	6.68	73.73	0.8166
103	0.3853	0.8431	5.56	77.12	0.6806	0.8115	6.16	71.19	0.8183
104	0.3914	0.8397	5.66	77.75	0.6932	0.8097	6.50	72.88	0.8208
105	0.3785	0.8442	5.61	74.15	0.7154	0.7843	5.86	75.42	0.8161
106	0.3810	0.8442	5.61	74.36	0.7309	0.8091	6.24	72.88	0.8212
